Time ;Illuminance ;Temperature ;Control No ;Load Resistance ;Vbus2 ;V_sens1 ;I_sens2;Pbus2;P_sens1;Parallel   
1,00;20134,19;33,62;255 ;5,29;0,104;0,097;18,91;1,97;1,83
2,87;19506,27;33,62;238 ;10,00;0,180;0,197;18,83;3,40;3,71
4,75;20198,70;33,68;34 ;20,00;0,396;0,341;18,51;7,34;6,31
6,63;20226,66;33,68;148 ;22,03;0,399;0,414;18,92;7,55;7,85
8,51;19519,18;33,75;56 ;24,26;0,436;0,458;18,40;8,03;8,44
10,39;19985,81;33,75;24 ;28,61;0,548;0,505;18,87;10,34;9,54
12,26;20351,38;33,75;132 ;31,65;0,579;0,620;18,66;10,80;11,57
14,26;19566,48;33,81;112 ;41,79;0,773;0,803;18,74;14,49;15,05
16,14;19732,07;33,81;48 ;47,60;0,915;0,851;18,64;17,06;15,88
18,02;20519,11;33,81;208 ;51,16;0,925;0,932;18,71;17,32;17,44
19,90;19783,68;33,87;144 ;60,22;1,074;1,118;18,24;19,60;20,40
21,78;19506,27;33,87;244 ;18,41;0,350;0,354;19,00;6,66;6,73
23,65;20405,14;33,87;96 ;103,94;1,681;1,547;16,36;27,51;25,32
25,53;20164,30;33,93;192 ;194,69;2,155;2,200;11,36;24,49;25,01
27,41;19525,63;33,93;128 ;470,82;2,566;2,597;5,47;14,06;14,22
29,30;19807,33;33,93;0 ;42949672,95;2,713;2,703;0,00;0,01;0,01
