Time ;Illuminance ;Temperature ;Control No ;Load Resistance ;Vbus2 ;V_sens1 ;I_sens2;Pbus2;P_sens1;Parallel   
1,00;19968,61;33,50;255 ;5,29;0,127;0,136;24,70;3,14;3,38
2,87;20964,24;33,56;238 ;10,00;0,257;0,216;24,95;6,42;5,39
4,75;20226,66;33,56;34 ;20,00;0,474;0,515;24,72;11,73;12,74
6,63;20054,62;33,62;148 ;22,03;0,564;0,522;24,51;13,85;12,80
8,51;20975,00;33,68;56 ;24,26;0,582;0,621;24,67;14,36;15,32
10,39;20213,76;33,68;24 ;28,61;0,730;0,703;24,37;17,81;17,14
12,28;20003,02;33,75;132 ;31,65;0,790;0,808;24,76;19,56;20,01
14,15;20955,64;33,75;112 ;41,79;1,003;0,994;24,14;24,24;24,02
16,03;20327,73;33,81;48 ;47,60;1,126;1,085;24,16;27,23;26,23
17,91;19960,01;33,81;208 ;51,16;1,233;1,211;23,28;28,73;28,21
19,79;20845,97;33,87;144 ;60,22;1,387;1,291;22,41;31,08;28,94
21,67;20480,40;33,87;244 ;18,41;0,435;0,459;24,50;10,67;11,25
23,54;19957,86;33,93;96 ;103,94;1,710;1,627;16,20;27,72;26,38
25,42;20665,34;33,93;192 ;194,69;1,951;1,952;10,03;19,57;19,58
27,31;20071,83;34,00;128 ;470,82;2,065;2,055;4,36;9,01;8,97
29,19;20093,33;34,00;0 ;42949672,95;2,097;2,104;0,00;0,00;0,00
