Time ;Illuminance ;Temperature ;Control No ;Load Resistance ;Vbus2 ;V_sens1 ;I_sens2;Pbus2;P_sens1;Parallel   
1,00;28796,00;33,43;255 ;5,29;0,349;0,357;64,12;22,38;22,93
2,87;28460,54;33,62;238 ;10,00;0,591;0,654;62,65;37,05;41,02
4,75;29985,17;33,81;34 ;20,00;1,301;1,139;59,89;77,97;68,27
6,63;28692,78;33,93;148 ;22,03;1,331;1,334;59,00;78,54;78,73
8,51;28387,43;34,12;56 ;24,26;1,276;1,462;55,44;70,76;81,10
10,39;29759,38;34,25;24 ;28,61;1,587;1,420;50,67;80,47;71,98
12,26;28918,57;34,43;132 ;31,65;1,580;1,511;48,73;77,02;73,65
14,15;28406,78;34,56;112 ;41,79;1,583;1,648;39,47;62,48;65,08
16,03;28759,45;34,75;48 ;47,60;1,868;1,679;35,85;66,98;60,20
17,91;29888,40;34,87;208 ;51,16;1,758;1,688;34,18;60,09;57,71
19,79;28746,54;35,00;144 ;60,22;1,760;1,790;29,58;52,07;52,96
21,67;28387,43;35,18;244 ;18,41;1,210;1,130;59,98;72,60;67,79
23,54;28417,53;35,31;96 ;103,94;1,959;1,958;18,92;37,09;37,06
25,42;29499,18;35,43;192 ;194,69;2,107;2,096;10,79;22,75;22,62
27,30;29613,15;35,62;128 ;470,82;2,170;2,146;4,59;9,96;9,85
29,19;28357,32;35,75;0 ;42949672,95;2,179;2,178;0,00;0,00;0,00
